geolocation_zip_code_prefix,distance_km
2186,867.8646197171845
2137,866.5465110412476
2185,867.7640378004909
2181,868.7963701616467
2180,868.6359014824479
2111,867.7345890130678
2187,868.1246770060604
2121,867.3471377803845
2190,867.585136967123
2139,865.6861361709148
2143,867.1685152301836
2122,867.6072770102655
2115,868.9059368205426
2118,867.7773117278558
2125,866.9387625695977
2113,867.7583246018166
2147,866.419677648024
2141,865.1016034796647
2170,869.052056550313
2166,868.8867814402727
2175,868.1343007303489
2168,868.4368772998863
2116,868.5644100244886
2145,866.6300459370307
2151,865.740700721203
2146,866.4748881981857
2144,866.9252563033633
2162,865.4673167126373
2142,867.3678449168438
2251,863.754378154963
2256,863.4716259633467
2246,864.9574241280638
2223,863.8720143191409
2225,864.1384092673626
2204,864.2704177596511
2235,863.9859330392815
2245,863.9687808538466
2243,864.9014990337017
2208,864.0477011042617
2222,864.5720699010989
2232,863.9409024345141
2203,865.1321939594301
2250,864.4950791238549
2263,862.2813967908735
2238,863.2218061229238
2261,862.6991220664844
2267,863.3311096919397
2270,862.9935076891562
2227,864.57032597963
2273,861.6246132343432
2244,864.7263730933353
2229,864.1617053958911
2215,865.1542140367773
2259,863.1074079037767
2228,864.2116408796797
2254,864.3136186055367
2218,864.6959011662893
2247,864.188584465633
2226,864.6749578123279
2274,862.6606056563819
2220,865.2388082601574
2217,865.1539495282125
2265,863.3851071304106
2276,861.7589803840644
2242,864.4493456249663
2269,863.1644765691306
2221,864.2362565084278
2279,861.9706925472244
2249,864.9818057450304
2237,862.5755494878966
2206,864.6344222433058
2258,863.5831922755514
2236,863.6347917911946
2205,864.8774171525649
2241,864.7139566707501
2219,864.8819800831028
2257,863.038192477995
2230,864.5905413166879
2210,864.7568597152086
2266,863.0806724188112
2211,865.6183866064378
2280,861.3235254607251
2278,862.2018959099659
2264,862.2275417828515
2201,864.43927273566
2253,863.6923369351446
2281,860.7629101708118
2248,863.930927869296
2255,863.3945948551128
2277,862.1126283438884
2272,862.7891681147264
2271,862.6815862287665
2282,860.4939141231041
2224,864.4008680739095
2275,862.2235355387427
